trial,method,label,goal_reached,collision_free,success,dynamic_collisions,min_c_static,min_c_dynamic,min_h_R,avg_speed_mps
14,proposed,RSM-NMPC,1,1,1,0,0.2016497059508122,0.3922870128169963,0.2016261643219997,3.105042364029192
15,nominal,Nominal,1,0,0,2,0.0638362426064965,-0.4284077671955678,-0.4284077674335564,3.2335798546238306
15,nmpc_dc,NMPC-DC,1,0,0,1,0.1325064144850135,-0.0793480061028765,-0.0793640720920418,3.0445011880253783
15,dhocbf_fixed,DHOCBF,1,1,1,0,0.2022656796755859,0.0947575735099479,0.07887623066056,2.4547297125919645
15,ego_style,SUPER-style,1,0,0,2,0.0689573528809719,-0.5608449519263821,-0.5608449522596249,3.6404012368056704
15,super_style,EGO-style,1,1,1,0,0.177633054374147,0.145,0.105,3.2699313630770392
15,proposed,RSM-NMPC,1,1,1,0,0.1923998321464399,0.5397688357826569,0.1923861586882496,3.0241211517065687
16,nominal,Nominal,1,0,0,3,0.0633630782593925,-0.4379395037926145,-0.4379395043731265,3.4022220589892003
16,nmpc_dc,NMPC-DC,1,0,0,3,0.1324411277006231,-0.4495079269348502,-0.4495079270067434,3.2012062066334304
16,dhocbf_fixed,DHOCBF,1,1,1,0,0.2025845442521849,0.145,0.105,2.580344333512694
16,ego_style,SUPER-style,1,1,1,0,0.0688124433998446,0.11928571428571427,0.08499999999999999,3.829859368387648
16,super_style,EGO-style,1,0,0,3,0.1778717795248699,-0.5254438963692913,-0.5254438963768095,3.4401090004607795
16,proposed,RSM-NMPC,1,1,1,0,0.2000637124133939,0.2413678671547423,0.2000308264381671,3.156843248080384
17,nominal,Nominal,1,0,0,3,0.0628977545046059,-0.4696650326198412,-0.4696650327487194,3.5038312826924494
17,nmpc_dc,NMPC-DC,1,0,0,2,0.129045497738739,-0.3544256556074945,-0.3544256576692229,3.2929011411161806
17,dhocbf_fixed,DHOCBF,1,0,0,1,0.2045928500043704,-0.1255831326757022,-0.1408227965490936,2.658235904281846
17,ego_style,SUPER-style,1,0,0,3,0.0722604756220137,-0.4533410162216347,-0.4533410265261743,3.945194960261481
17,super_style,EGO-style,1,0,0,2,0.1796538023636326,-0.4617188399353072,-0.4617188400268668,3.546153340958536
17,proposed,RSM-NMPC,1,1,1,0,0.2033506089178563,0.2287878726886102,0.2033320322405544,3.258059142240051
18,nominal,Nominal,1,0,0,3,0.06468145450561,-0.2590959731628282,-0.259096367063496,3.511841297223412
18,nmpc_dc,NMPC-DC,1,0,0,2,0.1282425624583936,-0.3498781778321548,-0.3498781807037803,3.3038921776978527
18,dhocbf_fixed,DHOCBF,1,1,1,0,0.2045086812061513,0.1,0.07,2.66120022311014
18,ego_style,SUPER-style,1,1,1,0,0.073857905864396,0.06785714285714285,0.045,3.951469986168193
18,super_style,EGO-style,1,0,0,2,0.1799254637455338,-0.3686653570444916,-0.3686653580407945,3.5524645124390744
18,proposed,RSM-NMPC,1,1,1,0,0.2015324377204589,0.4400249267013246,0.2015098084942237,3.270352662604964
19,nominal,Nominal,1,0,0,3,0.0658399472063934,-0.4512827136649383,-0.451282713716411,3.347110968509929
19,nmpc_dc,NMPC-DC,1,0,0,2,0.1276140741816302,-0.2903253224672242,-0.2903253421778758,3.1495248562986067
19,dhocbf_fixed,DHOCBF,1,1,1,0,0.2038114278813635,0.2618253403403697,0.1852845492249795,2.539665290827952
19,ego_style,SUPER-style,1,0,0,3,0.0745286241005092,-0.4472903430221447,-0.4472903695490358,3.768576469137417
19,super_style,EGO-style,1,0,0,3,0.1795068980104255,-0.3108440644995798,-0.3108440702644757,3.386339051093328
19,proposed,RSM-NMPC,1,1,1,0,0.200494512293657,0.4681326753199262,0.2004786487925868,3.122053246668589
20,nominal,Nominal,1,0,0,3,0.0653257405913465,-0.4324314639171233,-0.4324314641488045,3.3742079001952736
20,nmpc_dc,NMPC-DC,1,0,0,2,0.1276205335587706,-0.2951343137185553,-0.295134329682688,3.1749164821622484
20,dhocbf_fixed,DHOCBF,1,0,0,1,0.2022434267896068,-0.0985242866266595,-0.1137644627248512,2.560249328323231
20,ego_style,SUPER-style,1,1,1,0,0.0736587206233012,0.13214285714285715,0.095,3.79506688871955
20,super_style,EGO-style,1,0,0,3,0.1775553154654255,-0.4054934518332682,-0.4054934541329211,3.412784757722948
20,proposed,RSM-NMPC,1,1,1,0,0.2091302606960392,0.2052244108408054,0.1872968073025105,3.1379230338850457
