group,method,label,success,min_d_lower,min_c_static,min_c_dynamic,min_c_body,min_delta,min_h_R,avg_speed_mps,max_speed_mps,FR_%,dynamic_collisions,recursion_violations,min_psi1,min_psi2,solve_mean_ms,solve_p95_ms
sota,ego_style,SUPER-style,0,-0.420469863103458,0.07194896332702078,-0.5484698631005884,-0.548469863103458,-0.05352815897015087,-0.5484698639479989,3.8254991850907256,4.401447891173063,93.63564041368338,3,80,-0.29556700520795387,-0.21328752273707385,4.5,7.875
sota,super_style,EGO-style,0,-0.2809157945264079,0.17848688709540908,-0.408915794504164,-0.4089157945264079,0.061111807067540797,-0.40891579470533673,3.4374505607414254,3.8070208264675913,93.7947494033413,3,78,-0.22177596742135203,-0.15937001923726707,5.8,10.15
sota,proposed,RSM-NMPC,1,0.32916996072797255,0.20419676299386275,0.24389694394987277,0.20116996072797252,0.3006787789632618,0.20115579329028155,3.1539135303463484,3.5465895985899847,100.0,0,0,0.08845260582874473,0.06126048677166894,19.6,49.98
