group,method,label,success,min_d_lower,min_c_static,min_c_dynamic,min_c_body,min_delta,min_h_R,avg_speed_mps,max_speed_mps,FR_%,dynamic_collisions,recursion_violations,min_psi1,min_psi2,solve_mean_ms,solve_p95_ms
ablation,full,Full RSM-NMPC,1,0.331,0.20419676299386275,0.24389694394987277,0.203,0.3,0.183,3.31,3.5465895985899847,100.0,0,0,0.08845260582874473,0.06126048677166894,19.6,49.98
ablation,no_perception_lcb,- perception LCB,0,0.07600000000000001,-0.052017018323794045,-0.5412961090117694,-0.052,0.115,-0.052,3.53,3.6998862102595154,94.7,3,66,-0.30740960850505955,-0.22962603001186369,17.2,30.099999999999998
ablation,fixed_sphere,- embodiment,1,0.148,0.020057830650402036,0.04691759367286766,0.02,0.257,0.02,2.49,2.9783325482402305,100.0,0,0,0.007455387513637694,0.0009523669098068718,15.8,27.650000000000002
ablation,no_recoverability,- recoverability,0,0.328,0.1998307318048198,-0.5421142580810854,0.2,-0.029,-0.029,3.53,4.155843161352756,93.4,3,83,-0.30801673302569565,-0.23017332372851274,12.5,21.875
ablation,no_tightening,- tightening,0,0.313,0.18469822275900774,-0.5238702160237729,0.185,0.23,0.181,3.63,3.7997595656579,97.8,3,28,-0.30054898982277484,-0.25648174727936074,17.8,38.27
ablation,instant_rsm,- recursion,0,0.311,0.18283396926006099,-0.4989665723046511,0.183,0.218,0.178,3.72,3.879766792595924,95.0,3,63,-0.3742917489194505,-0.3419243699186827,15.2,28.88
