method,label,trials,success_count,success_rate_%,wilson95_low_%,wilson95_high_%,mean_dynamic_collisions,min_dynamic_clearance_mean_m,min_dynamic_clearance_std_m,avg_speed_mean_mps
nominal,Nominal,20,0,0.0,0.0,16.113012549493323,2.75,-0.42153223441526766,0.07649756236364742,3.4010909757300305
nmpc_dc,NMPC-DC,20,0,0.0,0.0,16.113012549493323,2.15,-0.30649228712684,0.1327121090611284,3.199271147917858
dhocbf_fixed,DHOCBF,20,9,45.0,25.819502085709296,65.79179916924002,0.55,-0.0055590397390290975,0.1567380117841621,2.579464374842214
ego_style,SUPER-style,20,8,40.0,21.880396741419272,61.342205768479396,1.6,-0.24583870605196517,0.28453644002047185,3.826721082694603
super_style,EGO-style,20,3,15.0,5.236779195949584,36.04232958869574,2.1,-0.34369519851277863,0.19606830046002113,3.4394474774605484
proposed,RSM-NMPC,20,19,95.0,76.38641064874331,99.11187805671268,0.05,0.24812436627421586,0.13518941719241861,3.1591074271191415
