group,method,label,success,min_d_lower,min_c_static,min_c_dynamic,min_c_body,min_delta,min_h_R,avg_speed_mps,max_speed_mps,FR_%,dynamic_collisions,recursion_violations,min_psi1,min_psi2,solve_mean_ms,solve_p95_ms
controller,nominal,Nominal,0,-0.38290610509286394,0.06302580731499913,-0.5109061050454864,-0.5109061050928639,0.12040841604734132,-0.5109061050988548,3.4011675556075263,3.858740150425398,93.71519490851233,3,79,-0.28429429116417515,-0.2088876796922379,3.2,5.6000000000000005
controller,nmpc_dc,NMPC-DC,0,-0.2859278348461112,0.12976880390138354,-0.4139278347003221,-0.4139278348461112,0.13434986270527174,-0.4139278349587835,3.1975289578778208,3.647709887111975,95.14717581543357,3,61,-0.22464009171615543,-0.1611067238925541,6.0,10.5
controller,dhocbf_fixed,DHOCBF,0,0.0929991668655569,0.20319484932137083,-0.03499528653204284,-0.0350008331344431,-0.025000833134443096,-0.0502403232892653,2.576779186367246,2.62,98.96579156722355,1,13,-0.03878412595289661,-0.029423838914879905,8.4,14.700000000000001
controller,proposed,RSM-NMPC,1,0.32916996072797255,0.20419676299386275,0.24389694394987277,0.20116996072797252,0.3006787789632618,0.20115579329028155,3.1539135303463484,3.5465895985899847,100.0,0,0,0.08845260582874473,0.06126048677166894,19.6,49.98
