time_s,controller,x,y,vx,vy,yaw,ref_x,ref_y,goal_x,goal_y,ux,uy,alpha,feasible,solve_ms,clearance_m,d_lower_min,c_body,barrier,gamma_ref,recovery_energy,recoverable_margin,h_R,dynamic_reserve,recoverability_delta,pred_min_d_lower,pred_min_c_body,pred_min_gamma,pred_max_recovery_energy,pred_max_dynamic_reserve,pred_min_delta,pred_min_h_R,pred_min_psi0,pred_min_psi1,pred_min_psi2,pred_min_psi0_constraint,pred_min_psi1_constraint,pred_min_psi2_constraint,solver_constraint_margin,max_safety_slack,speed_mps,obstacle_count,guide_points
1780630701.599794,nominal,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,0.000000,7.999991,-0.171058,1,10.578572,inf,inf,inf,inf,inf,0.016640,inf,inf,0.012000,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,0.000000,0,2
1780630701.705089,nominal,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,0.000000,7.999992,-0.212728,1,12.282502,inf,inf,inf,inf,inf,0.016640,inf,inf,0.012000,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,0.000000,0,2
1780630701.802575,nominal,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,0.000000,7.999992,-0.221782,1,12.213939,inf,inf,inf,inf,inf,0.016640,inf,inf,0.012000,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,0.000000,0,2
1780630701.903560,nominal,0.000000,-49.960000,0.000000,0.799999,1.570799,0.000000,-48.360000,0.000000,45.000000,0.000000,7.999979,-0.222624,1,10.024282,inf,inf,inf,inf,inf,0.017408,inf,inf,0.041600,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,0.799999,0,2
1780630701.996477,nominal,0.000000,-49.840000,0.000000,1.599997,1.570798,0.000000,-48.240000,0.000000,45.000000,0.000000,7.750965,-0.221408,1,6.578425,inf,inf,inf,inf,inf,0.019712,inf,inf,0.074400,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,1.599997,0,2
1780630702.270425,nominal,0.000000,-49.641246,0.000000,2.375094,1.570798,-0.304189,-48.070428,0.000000,45.000000,-2.709432,4.032146,-0.219684,1,2.690619,inf,inf,inf,inf,inf,0.023409,inf,inf,0.109231,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,2.375094,0,4
1780630702.274701,nominal,0.000000,-49.641246,0.000000,2.375094,1.570798,-0.304189,-48.070428,0.000000,45.000000,-2.913471,3.752093,-0.217845,1,2.453470,inf,inf,inf,inf,inf,0.023409,inf,inf,0.109231,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,inf,inf,inf,-0.000000,0.000000,2.375094,0,4
1780630702.303608,nominal,-0.014567,-49.384976,-0.291347,2.750303,1.577533,-0.352548,-47.820702,0.000000,45.000000,-1.936548,2.007179,-0.216723,1,2.564013,1.455688,1.298128,1.173982,1.173982,1.327023,0.025827,1.153822,1.153822,0.127922,1.173275,1.415688,1.327688,inf,nan,0.000000,1.327688,1.327688,1.327688,0.416669,0.095599,1.327688,0.416669,0.095599,-0.000000,0.000000,2.765692,10,4
1780630702.404462,nominal,-0.053385,-49.099910,-0.485002,2.951021,1.653030,-0.407159,-47.538694,0.000000,45.000000,-1.144026,0.957554,-0.223276,1,2.216733,1.474050,1.343949,1.217399,1.217399,1.396169,0.027389,1.203108,1.203108,0.139031,1.229749,1.434050,1.346050,inf,nan,0.000000,1.346050,1.346050,1.346050,0.431212,0.098361,1.346050,0.431212,0.098361,-0.000000,0.000000,2.990610,10,4
1780630702.504954,nominal,-0.107605,-48.800020,-0.599404,3.046776,1.719006,-0.465093,-47.239523,0.000000,45.000000,-0.609596,0.447049,-0.230668,1,3.172286,1.501447,1.363069,1.242719,1.242719,0.713891,0.028230,0.540875,0.540875,0.144787,0.540875,0.595058,0.507058,inf,nan,0.000000,0.507058,0.507058,0.507058,0.094670,-0.196792,0.507058,0.094670,-0.196792,-0.000000,0.000000,3.105178,10,4
