time_s,controller,x,y,vx,vy,yaw,ref_x,ref_y,goal_x,goal_y,ux,uy,alpha,feasible,solve_ms,clearance_m,d_lower_min,c_body,barrier,gamma_ref,recovery_energy,recoverable_margin,h_R,dynamic_reserve,recoverability_delta,pred_min_d_lower,pred_min_c_body,pred_min_gamma,pred_max_recovery_energy,pred_max_dynamic_reserve,pred_min_delta,pred_min_h_R,pred_min_psi0,pred_min_psi1,pred_min_psi2,pred_min_psi0_constraint,pred_min_psi1_constraint,pred_min_psi2_constraint,solver_constraint_margin,max_safety_slack,speed_mps,obstacle_count,guide_points
1780631003.508680,dhocbf_fixed,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,-0.000000,7.999991,-0.171058,1,15.502180,inf,inf,inf,inf,inf,0.016640,inf,inf,0.012000,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,1448.422933,434.419258,86.852992,-0.000000,0.000001,0.000000,0,2
1780631003.609884,dhocbf_fixed,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,-0.000000,7.999992,-0.212728,1,16.887416,inf,inf,inf,inf,inf,0.016640,inf,inf,0.012000,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,1448.422933,434.419258,86.852992,-0.000000,0.000001,0.000000,0,2
1780631003.709713,dhocbf_fixed,0.000000,-50.000000,0.000000,0.000000,1.570800,0.000000,-48.400000,0.000000,45.000000,-0.000000,7.999992,-0.221782,1,17.122555,inf,inf,inf,inf,inf,0.016640,inf,inf,0.012000,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,1448.422933,434.419258,86.852992,-0.000000,0.000001,0.000000,0,2
1780631003.798136,dhocbf_fixed,-0.000000,-49.960000,-0.000000,0.799999,1.570799,0.000000,-48.360000,0.000000,45.000000,-0.000000,7.999980,-0.222623,1,3.373977,inf,inf,inf,inf,inf,0.017408,inf,inf,0.041600,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,1448.350637,434.419991,86.861491,-0.000000,0.000000,0.799999,0,2
1780631003.909656,dhocbf_fixed,-0.000000,-49.840000,-0.000000,1.599997,1.570798,0.000000,-48.240000,0.000000,45.000000,0.000000,7.751393,-0.221388,1,14.482931,inf,inf,inf,inf,inf,0.019712,inf,inf,0.074400,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,1448.239023,434.402620,86.855430,-0.000000,0.000000,1.599997,0,2
1780631004.013177,dhocbf_fixed,-0.000000,-49.641244,-0.000000,2.375137,1.570798,0.000000,-48.041244,0.000000,45.000000,0.000000,4.291929,-0.219660,1,3.686245,inf,inf,inf,inf,inf,0.023410,inf,inf,0.109233,inf,inf,inf,inf,nan,0.000000,inf,inf,inf,inf,inf,1448.082274,434.365278,86.847441,-0.000000,0.000000,2.375137,0,0
1780631004.391337,dhocbf_fixed,-0.000000,-49.382270,-0.000000,2.804329,1.570797,-0.198191,-47.794593,0.000000,45.000000,3.962063,-1.139843,-0.217821,1,14.514481,1.192620,1.283586,1.158928,1.158928,0.620000,0.026077,0.464111,0.464111,0.129812,0.464111,0.407839,0.310870,inf,nan,0.000000,0.310870,0.310870,0.310870,0.043275,-0.020995,0.319386,0.045617,0.000000,-0.000000,0.009086,2.804329,10,4
1780631004.421010,dhocbf_fixed,-0.000000,-49.382270,-0.000000,2.804329,1.570797,-0.198191,-47.794593,0.000000,45.000000,4.001870,-1.333083,-0.215965,1,14.606894,1.192620,1.283586,1.158928,1.158928,0.620000,0.026077,0.464111,0.464111,0.129812,0.464111,0.408193,0.311266,inf,nan,0.000000,0.311266,0.311266,0.311266,0.043355,-0.020763,0.319851,0.045712,0.000000,-0.000000,0.008960,2.804329,10,4
1780631004.520064,dhocbf_fixed,0.020009,-49.108503,0.400187,2.671021,1.582944,-0.231534,-47.527485,0.000000,45.000000,2.587106,-3.967006,-0.215440,1,7.196426,1.143405,1.260223,1.138208,1.138208,0.620000,0.025412,0.469822,0.469822,0.124765,0.469822,0.300852,0.204612,inf,nan,0.000000,0.204612,0.204612,0.204612,0.019683,-0.023137,0.215034,0.023809,0.000000,-0.000000,0.012801,2.700834,10,4
1780631004.630355,dhocbf_fixed,0.072964,-48.861236,0.658898,2.274321,1.571555,-0.261115,-47.290521,0.000000,45.000000,2.595653,-1.963428,-0.212688,1,12.833554,0.983484,1.086250,0.970744,0.970744,0.620000,0.023490,0.487619,0.487619,0.108891,0.487619,0.201443,0.104344,inf,nan,0.000000,0.104344,0.104344,0.104344,-0.000470,-0.013988,0.116805,0.004801,0.000000,-0.000000,0.015902,2.367843,10,4
1780631004.728051,dhocbf_fixed,0.151832,-48.643621,0.918463,2.077978,1.634356,-0.286653,-47.085939,0.000000,45.000000,2.267922,2.418812,-0.217476,1,9.303781,0.840101,0.896581,0.782927,0.782927,0.620000,0.023215,0.492363,0.492363,0.104421,0.492364,0.169989,0.072489,inf,nan,0.000000,0.072489,0.072489,0.072489,-0.001974,-0.015132,0.082123,0.001243,0.000000,-0.000000,0.015308,2.271908,10,4
1780631004.845785,dhocbf_fixed,0.255018,-48.423729,1.145255,2.319859,1.801276,-0.312098,-46.882104,0.000000,45.000000,-2.064603,1.687386,-0.235455,1,12.217760,0.705747,0.726746,0.613653,0.613653,0.620000,0.025570,0.474923,0.474923,0.119284,0.475146,0.134492,0.037405,inf,nan,0.000000,0.037405,0.037405,0.037405,-0.008728,-0.012152,0.047911,0.000000,0.000000,-0.000000,0.010325,2.587152,10,4
1780631004.914491,dhocbf_fixed,0.359220,-48.183306,0.938795,2.488598,1.834995,-0.340051,-46.658179,0.000000,45.000000,-4.610213,1.522261,-0.242196,1,8.790376,0.607282,0.582656,0.470514,0.470514,0.620000,0.026787,0.450670,0.450670,0.122779,0.470435,0.117961,0.023199,inf,nan,0.000000,0.023199,0.023199,0.023199,-0.013020,-0.013818,0.034569,0.000002,0.000000,-0.000000,0.009524,2.659785,10,4
1780631005.028507,dhocbf_fixed,0.430048,-47.926835,0.477774,2.640824,1.822399,-0.370488,-46.414349,0.000000,45.000000,-4.779124,-1.881279,-0.240875,1,7.485800,0.471686,0.466079,0.361990,0.361990,0.620000,0.027678,0.361308,0.361308,0.123935,0.468387,0.133928,0.039005,inf,nan,0.000000,0.039005,0.039005,0.039005,-0.006356,-0.020394,0.050661,0.000000,0.000000,-0.000000,0.011023,2.683695,10,4
1780631005.119744,dhocbf_fixed,0.453930,-47.672159,-0.000139,2.452696,1.950477,-0.401425,-46.166516,0.000000,45.000000,-5.836280,3.882101,-0.252948,1,13.932365,0.445001,0.499618,0.392952,0.392952,0.620000,0.026710,0.391644,0.391644,0.112884,0.480407,0.144924,0.044345,inf,nan,0.000000,0.044345,0.044345,0.044345,-0.008236,-0.022452,0.054575,0.000022,0.000000,-0.000000,0.015740,2.452696,10,4
1780631005.236630,dhocbf_fixed,0.424735,-47.407479,-0.583767,2.840906,1.831124,-0.434407,-45.902308,0.000000,45.000000,-6.020246,-3.511265,-0.241349,1,11.340841,0.404385,0.505584,0.396899,0.396899,0.650140,0.029618,0.395662,0.395662,0.134538,0.485984,0.049893,-0.071717,inf,nan,0.000000,-0.071717,-0.071717,-0.071717,-0.068552,-0.053205,-0.000000,-0.000000,-0.000000,-0.000000,0.073016,2.900264,10,4
1780631005.333455,dhocbf_fixed,0.336257,-47.140945,-1.185791,2.489779,2.015149,-0.468525,-45.628988,0.000000,45.000000,6.227442,-5.021849,-0.256941,1,14.835248,0.355228,0.378570,0.273625,0.273625,0.636906,0.028195,0.273605,0.273605,0.127533,0.481177,-0.010274,-0.131301,inf,nan,0.000000,-0.131301,-0.131301,-0.131301,-0.077468,-0.038006,-0.000000,-0.000000,0.024187,-0.000000,0.136365,2.757735,10,4
1780631005.427286,dhocbf_fixed,0.248815,-46.917076,-0.563047,1.987595,1.819121,-0.497384,-45.397807,0.000000,45.000000,6.278681,-4.957637,-0.237848,1,8.066276,0.288533,0.279284,0.174763,0.174763,0.719994,0.023744,0.174763,0.174763,0.094972,0.601278,-0.030701,-0.151267,inf,nan,0.000000,-0.151267,-0.151267,-0.151267,-0.090760,-0.040727,-0.000000,-0.000000,0.042696,-0.000000,0.160697,2.065806,10,4
1780631005.527012,dhocbf_fixed,0.223904,-46.743105,0.064821,1.491831,1.688861,-0.519150,-45.223443,0.000000,45.000000,-6.727371,-4.329258,-0.217366,1,7.703157,0.288010,0.307868,0.192723,0.192723,0.796895,0.021275,0.192723,0.192723,0.069838,0.705782,0.097866,0.004572,inf,nan,0.000000,0.004572,0.004572,0.004572,-0.024392,-0.008722,0.017301,-0.000000,0.000000,-0.000000,0.021960,1.493238,10,4
1780631005.621716,dhocbf_fixed,0.196749,-46.615568,-0.607916,1.058905,1.978936,-0.535243,-45.094525,0.000000,45.000000,-7.995343,0.272923,-0.242439,1,7.432396,0.277717,0.289021,0.185324,0.185324,0.626002,0.020310,0.185324,0.185324,0.058462,0.547230,0.109409,0.015269,inf,nan,0.000000,0.015269,0.015269,0.015269,-0.018103,-0.018484,0.026973,0.000000,0.000000,-0.000000,0.011706,1.221000,10,4
1780631005.726483,dhocbf_fixed,0.095981,-46.508313,-1.407450,1.086197,1.828747,-0.549972,-44.976530,0.000000,45.000000,-5.741680,5.570737,-0.230800,1,7.495111,0.236174,0.276708,0.154214,0.154214,0.677770,0.021756,0.154214,0.154214,0.082127,0.573887,0.117540,0.023708,inf,nan,0.000000,0.023708,0.023708,0.023708,-0.015182,-0.010514,0.044228,0.000444,0.000000,-0.000000,0.007489,1.777847,10,4
1780631005.836097,dhocbf_fixed,-0.073473,-46.371839,-1.981618,1.643271,1.675060,-0.569347,-44.821322,0.000000,45.000000,-7.384908,-3.076221,-0.209677,1,12.442920,0.312334,0.348080,0.237888,0.237888,0.620000,0.025178,0.237881,0.237881,0.118669,0.476153,0.133805,0.033587,inf,nan,0.000000,0.033587,0.033587,0.033587,-0.009136,-0.029490,0.044131,0.000000,-0.000000,-0.000000,0.044362,2.574325,10,4
1780631005.927006,dhocbf_fixed,-0.308559,-46.222893,-2.720109,1.335649,1.858233,-0.591262,-44.645765,0.000000,45.000000,0.281535,4.441249,-0.222997,1,8.504439,0.288466,0.381108,0.258782,0.258782,0.620000,0.027707,0.258748,0.258748,0.141019,0.451274,0.168695,0.070673,inf,nan,0.000000,0.070673,0.070673,0.070673,0.006346,-0.025611,0.081038,0.015739,0.000000,-0.000000,0.015468,3.030339,10,4
1780631006.031972,dhocbf_fixed,-0.579162,-46.067122,-2.691956,1.779774,1.853238,-0.614561,-44.459123,0.000000,45.000000,2.339050,2.860186,-0.224355,1,5.718809,0.293155,0.288257,0.160893,0.160893,0.712439,0.029312,0.160893,0.160893,0.150984,0.532142,0.194765,0.099167,inf,nan,0.000000,0.099167,0.099167,0.099167,0.004478,-0.024076,0.124105,0.028454,-0.000000,-0.000000,0.013224,3.227107,10,4
1780631006.147729,dhocbf_fixed,-0.836663,-45.874844,-2.458051,2.065792,1.775715,-0.642146,-44.238144,0.000000,45.000000,5.656854,-5.656854,-0.214816,1,28.130456,0.340848,0.337959,0.219538,0.219538,0.940687,0.030029,0.219538,0.219538,0.150153,0.760504,0.079110,-0.013929,inf,nan,0.000000,-0.013929,-0.013929,-0.013929,-0.075403,-0.137720,0.000000,0.000000,-0.000000,-0.000000,0.138281,3.210843,10,4
1780631006.232162,dhocbf_fixed,-1.054184,-45.696549,-1.892365,1.500107,1.350163,-0.667398,-44.035848,0.000000,45.000000,5.656854,-5.656854,-0.164718,1,9.766608,0.294525,0.253358,0.143463,0.143463,0.986572,0.025897,0.143463,0.143463,0.111097,0.849578,0.061547,-0.034527,inf,nan,0.000000,-0.034527,-0.034527,-0.034527,-0.078479,0.004483,-0.000000,-0.000000,0.021911,-0.000000,0.077679,2.414823,10,4
1780631006.324664,dhocbf_fixed,-1.215136,-45.574822,-1.326680,0.934422,1.145439,-0.684830,-43.896206,0.000000,45.000000,7.565529,-2.600532,-0.128846,1,6.473724,0.315070,0.369971,0.254740,0.254740,1.146842,0.023303,0.254740,0.254740,0.075378,1.048161,0.124325,0.016836,inf,nan,0.000000,0.016836,0.016836,0.016836,-0.056235,0.018357,0.008947,-0.000000,0.046366,-0.000000,0.057876,1.622721,10,4
1780631006.421921,dhocbf_fixed,-1.309976,-45.494383,-0.570127,0.674368,1.222532,-0.696172,-43.805343,0.000000,45.000000,5.656842,5.656867,-0.127446,1,5.617380,0.311708,0.443772,0.315166,0.315166,1.188801,0.021928,0.315166,0.315166,0.044857,1.122016,0.234944,0.136480,inf,nan,0.000000,0.136480,0.136480,0.136480,0.011801,0.078908,0.150050,0.017233,0.079545,-0.000000,0.000000,0.883073,10,4
1780631006.520999,dhocbf_fixed,-1.338705,-45.398662,-0.004443,1.240055,1.446791,-0.708379,-43.707560,0.000000,45.000000,4.830605,6.376932,-0.150705,1,3.665699,0.272729,0.405327,0.291392,0.291392,1.227825,0.023017,0.291392,0.291392,0.059247,1.145562,0.238608,0.139284,inf,nan,0.000000,0.139284,0.139284,0.139284,0.063752,0.086284,0.152659,0.069134,0.092778,-0.000000,0.000001,1.240063,10,4
1780631006.634697,dhocbf_fixed,-1.314996,-45.242772,0.478618,1.877748,1.531352,-0.727176,-43.556976,0.000000,45.000000,1.016393,7.935171,-0.164763,1,10.056585,0.290376,0.410853,0.302665,0.302665,0.620000,0.025224,0.302641,0.302641,0.089210,0.505566,0.250376,0.154431,inf,nan,0.000000,0.154431,0.154431,0.154431,0.087912,-0.016975,0.169208,0.093568,0.000000,-0.000000,0.017381,1.937786,10,4
1780631006.729449,dhocbf_fixed,-1.262052,-45.015321,0.580257,2.671265,1.319026,-0.754321,-43.339523,0.000000,45.000000,-3.749909,7.066695,-0.144095,1,11.135677,0.301620,0.326423,0.221704,0.221704,0.672030,0.028896,0.221703,0.221703,0.126356,0.516778,0.265919,0.167076,inf,nan,0.000000,0.167076,0.167076,0.167076,0.102158,-0.029582,0.160238,0.104885,-0.000000,-0.000000,0.023728,2.733561,10,4
1780631006.829949,dhocbf_fixed,-1.222776,-44.712861,0.205266,3.377935,1.048366,-0.790896,-43.046531,0.000000,45.000000,-5.656854,-5.656854,-0.108534,1,14.737105,0.272533,0.235499,0.125362,0.125362,0.828506,0.033004,0.125362,0.125362,0.159077,0.636425,0.249104,0.139860,inf,nan,0.000000,0.139860,0.139860,0.139860,0.151324,-0.022672,0.149394,0.155927,-0.000000,-0.000000,0.029933,3.384166,10,4
1780631006.938506,dhocbf_fixed,-1.230534,-44.403352,-0.360419,2.812249,1.413295,-0.829058,-42.740817,0.000000,45.000000,-0.339462,-2.360623,-0.138682,1,19.834103,0.371635,0.394947,0.283431,0.283431,0.620000,0.028660,0.283372,0.283372,0.131330,0.460009,0.235189,0.127511,inf,nan,0.000000,0.127511,0.127511,0.127511,0.009746,-0.020752,0.138182,0.013974,-0.000000,-0.000000,0.016511,2.835251,10,4
1780631007.037908,dhocbf_fixed,-1.268273,-44.133930,-0.394366,2.576187,1.366151,-0.862753,-42.470891,0.000000,45.000000,6.465286,-4.711696,-0.140198,1,11.131435,0.512174,0.608339,0.484297,0.484297,0.620000,0.027197,0.458053,0.458053,0.120198,0.472606,0.121825,0.026627,inf,nan,0.000000,0.026627,0.026627,0.026627,-0.012089,-0.026931,0.039043,0.000000,0.000000,-0.000000,0.023319,2.606197,10,4
